Accessibility | trigger: hover | mechanic: roll
Activity | trigger: hover | mechanic: pulse
AlarmClock | trigger: hover | mechanic: ring
AlertCircle | trigger: hover | mechanic: alert
AlertTriangle | trigger: hover | mechanic: shake
Anchor | trigger: hover | mechanic: sway
Antenna | trigger: hover | mechanic: receive
Apple | trigger: tap | mechanic: bite
ArrowLeft | trigger: hover | mechanic: slide
ArrowRight | trigger: hover | mechanic: slide
ArrowUp | trigger: hover | mechanic: slide
Atom | trigger: hover | mechanic: orbit
Award | trigger: hover | mechanic: swing
Baby | trigger: hover | mechanic: coo
Backpack | trigger: hover | mechanic: strap
BadgeCheck | trigger: tap | mechanic: verify
Balloon | trigger: hover | mechanic: float
Bandage | trigger: hover | mechanic: peel
Banknote | trigger: hover | mechanic: count
BarChart | trigger: hover | mechanic: grow
BarChart2 | trigger: tap | mechanic: compare
Battery | trigger: hover | mechanic: charge
BatteryCharging | trigger: hover | mechanic: charge
BatteryFull | trigger: hover | mechanic: charge
BatteryLow | trigger: hover | mechanic: warn
Beaker | trigger: hover | mechanic: bubble
Beef | trigger: hover | mechanic: sizzle
Bell | trigger: hover | mechanic: ring
BellOff | trigger: tap | mechanic: silence
BellPlus | trigger: tap | mechanic: add
BellRing | trigger: hover | mechanic: ring
Bike | trigger: hover | mechanic: ride
Binoculars | trigger: hover | mechanic: focus
Bird | trigger: hover | mechanic: flap
Bitcoin | trigger: hover | mechanic: mine
Bluetooth | trigger: hover | mechanic: pair
Bomb | trigger: hover | mechanic: fizz
Book | trigger: hover | mechanic: flip
Bookmark | trigger: tap | mechanic: save
Box | trigger: hover | mechanic: open
Brain | trigger: hover | mechanic: think
Briefcase | trigger: tap | mechanic: unlatch
Bug | trigger: hover | mechanic: scurry
Building | trigger: hover | mechanic: light
Cable | trigger: tap | mechanic: plug
Cake | trigger: hover | mechanic: glow
Calendar | trigger: hover | mechanic: flip
CalendarCheck | trigger: tap | mechanic: confirm
CalendarClock | trigger: hover | mechanic: tick
CalendarPlus | trigger: tap | mechanic: add
CalendarX | trigger: tap | mechanic: cancel
Camera | trigger: tap | mechanic: shoot
Candle | trigger: hover | mechanic: flicker
Carrot | trigger: hover | mechanic: wiggle
Cat | trigger: hover | mechanic: blink
Check | trigger: tap | mechanic: draw
CheckCircle | trigger: tap | mechanic: confirm
ChefHat | trigger: hover | mechanic: puff
Cherry | trigger: hover | mechanic: bounce
ChevronDown | trigger: hover | mechanic: drop
ChevronUp | trigger: hover | mechanic: rise
Citrus | trigger: hover | mechanic: zest
Clipboard | trigger: tap | mechanic: clip
ClipboardCheck | trigger: tap | mechanic: check
ClipboardCopy | trigger: hover | mechanic: paste
ClipboardList | trigger: hover | mechanic: fill
Clock | trigger: hover | mechanic: tick
Cloud | trigger: hover | mechanic: drift
CloudDrizzle | trigger: hover | mechanic: drizzle
CloudFog | trigger: hover | mechanic: roll
CloudLightning | trigger: hover | mechanic: strike
CloudRain | trigger: hover | mechanic: drip
CloudSnow | trigger: hover | mechanic: drift
Cloudy | trigger: hover | mechanic: drift
Clover | trigger: hover | mechanic: wave
Code | trigger: hover | mechanic: apart
Coffee | trigger: hover | mechanic: steam
Coins | trigger: hover | mechanic: jingle
Command | trigger: tap | mechanic: press
Compass | trigger: hover | mechanic: find
Cookie | trigger: tap | mechanic: crunch
Copy | trigger: hover | mechanic: stack
CornerDownRight | trigger: hover | mechanic: trace
Cpu | trigger: hover | mechanic: process
CreditCard | trigger: hover | mechanic: tap
Croissant | trigger: hover | mechanic: crumble
Crop | trigger: hover | mechanic: frame
Cross | trigger: tap | mechanic: press
Crosshair | trigger: tap | mechanic: focus
Database | trigger: hover | mechanic: sync
Dice5 | trigger: tap | mechanic: roll
Dna | trigger: hover | mechanic: twist
Dog | trigger: hover | mechanic: perk
DollarSign | trigger: tap | mechanic: cash
DoorClosed | trigger: tap | mechanic: knock
DoorOpen | trigger: hover | mechanic: swing
Download | trigger: hover | mechanic: bounce
Droplet | trigger: hover | mechanic: drip
Drum | trigger: hover | mechanic: hit
Dumbbell | trigger: hover | mechanic: lift
Egg | trigger: hover | mechanic: wobble
EggFried | trigger: hover | mechanic: sizzle
Euro | trigger: tap | mechanic: cash
Expand | trigger: hover | mechanic: grow
Eye | trigger: tap | mechanic: blink
EyeOff | trigger: tap | mechanic: close
Fan | trigger: hover | mechanic: spin
